,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194
10,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,0,0,0,0,0,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,100,100,100,100,100,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,100,100,100,100,100,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,0,0,0,0,0,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,0,0,0,0,0,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,0,0,0,0,0,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667
12,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100
13,66.66666667,66.66666667,66.66666667,66.66666667,100,16.66666667,16.66666667,16.66666667,50,83.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,16.66666667,16.66666667,16.66666667,16.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,50,50,50,50,83.33333333,16.66666667,16.66666667,16.66666667,16.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,50,50,50,50,83.33333333,16.66666667,16.66666667,50,66.66666667,100,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,16.66666667,16.66666667,50,66.66666667,100,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,0,0,0,0,0,50,50,66.66666667,83.33333333,100,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,16.66666667,16.66666667,16.66666667,66.66666667,100,50,50,50,50,83.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,16.66666667,16.66666667,16.66666667,50,83.33333333,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,16.66666667,16.66666667,16.66666667,50,83.33333333,66.66666667,66.66666667,66.66666667,66.66666667,100,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,33.33333333,33.33333333,50,66.66666667,83.33333333,100,100,100,100,100,100,100,100,100,100,16.66666667,16.66666667,33.33333333,50,83.33333333,0,0,0,0,0,66.66666667,66.66666667,66.66666667,66.66666667,100,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,16.66666667,16.66666667,16.66666667,50,83.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,66.66666667,66.66666667,66.66666667,100,16.66666667,16.66666667,16.66666667,50,83.33333333
14,20,20,20,20,80,60,60,60,60,100,40,40,40,40,40,20,20,20,20,20,40,40,40,80,100,60,60,60,60,60,20,20,20,20,100,40,40,40,40,80,60,60,60,60,60,20,20,20,60,80,100,100,100,100,100,40,40,40,40,40,20,20,20,60,80,40,40,40,40,100,0,0,0,0,0,20,20,20,60,80,100,100,100,100,100,40,40,40,40,40,20,20,20,20,80,60,60,60,60,60,40,40,40,40,100,60,60,60,60,100,20,20,20,20,40,80,80,80,80,80,40,40,40,40,40,60,60,60,60,100,20,20,20,20,80,100,100,100,100,100,20,20,20,40,60,80,80,80,80,80,80,80,80,80,80,40,40,40,60,100,20,20,20,20,20,20,20,20,80,100,40,40,40,40,40,60,60,60,60,60,40,40,40,40,100,20,20,20,20,80,60,60,60,60,60
15,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,16.66666667,16.66666667,50,83.33333333,100,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,50,50,50,50,100,16.66666667,16.66666667,16.66666667,33.33333333,83.33333333,50,50,50,66.66666667,100,0,0,0,0,0,16.66666667,16.66666667,16.66666667,33.33333333,83.33333333,16.66666667,16.66666667,16.66666667,66.66666667,83.33333333,50,50,50,50,100,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,16.66666667,16.66666667,16.66666667,66.66666667,83.33333333,33.33333333,33.33333333,33.33333333,50,100,0,0,0,0,0,16.66666667,16.66666667,16.66666667,66.66666667,83.33333333,50,50,50,50,100,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,16.66666667,16.66666667,16.66666667,16.66666667,83.33333333,33.33333333,33.33333333,33.33333333,50,100,16.66666667,16.66666667,50,83.33333333,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,16.66666667,16.66666667,50,83.33333333,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,50,50,50,50,100,16.66666667,16.66666667,33.33333333,66.66666667,83.33333333,0,0,0,0,0,0,0,0,0,0,16.66666667,16.66666667,50,66.66666667,100,0,0,0,0,0,33.33333333,33.33333333,50,66.66666667,100,0,0,0,0,0,16.66666667,16.66666667,16.66666667,16.66666667,83.33333333,33.33333333,33.33333333,33.33333333,50,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,16.66666667,16.66666667,16.66666667,16.66666667,83.33333333
16,60,60,60,60,60,80,80,80,80,100,20,20,20,20,40,60,60,60,60,100,0,0,0,0,0,20,20,20,40,80,60,60,60,60,100,0,0,0,0,0,20,20,20,40,80,60,60,60,80,100,0,0,0,0,0,20,20,20,20,40,60,60,60,80,100,20,20,20,20,40,0,0,0,0,0,60,60,60,60,80,100,100,100,100,100,20,20,20,20,40,0,0,0,0,0,60,60,60,80,100,20,20,20,20,40,80,80,80,80,100,20,20,20,40,60,0,0,0,0,0,20,20,20,20,40,80,80,80,80,100,60,60,60,60,60,100,100,100,100,100,20,20,40,60,80,0,0,0,0,0,0,0,0,0,0,20,20,40,60,100,0,0,0,0,0,20,20,20,20,40,100,100,100,100,100,60,60,60,60,80,20,20,20,20,40,60,60,60,60,60,80,80,80,80,100
17,0,0,0,0,0,20,20,20,60,100,40,40,40,40,80,0,0,0,0,0,20,20,20,20,20,40,40,60,80,100,0,0,0,0,0,20,20,20,20,20,40,40,60,80,100,60,60,60,60,100,20,20,20,20,20,40,40,40,40,80,60,60,60,60,100,20,20,20,40,80,0,0,0,0,0,20,20,20,60,100,0,0,0,0,0,40,40,40,40,80,0,0,0,0,0,60,60,60,60,100,20,20,20,40,80,60,60,60,60,100,40,40,40,40,80,20,20,20,20,20,40,40,40,40,80,60,60,60,60,100,20,20,20,20,20,0,0,0,0,0,40,40,60,80,100,20,20,20,20,20,0,0,0,0,0,20,20,40,60,100,0,0,0,0,0,20,20,20,40,80,0,0,0,0,0,60,60,60,60,100,40,40,40,40,80,0,0,0,0,0,20,20,20,60,100
18,100,100,100,100,100,50,50,50,50,83.33333333,16.66666667,16.66666667,16.66666667,33.33333333,66.66666667,100,100,100,100,100,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,33.33333333,33.33333333,50,66.66666667,83.33333333,100,100,100,100,100,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,33.33333333,33.33333333,50,66.66666667,83.33333333,50,50,50,83.33333333,100,0,0,0,0,0,16.66666667,16.66666667,16.66666667,33.33333333,66.66666667,50,50,50,83.33333333,100,16.66666667,16.66666667,16.66666667,16.66666667,33.33333333,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,50,50,50,83.33333333,100,0,0,0,0,0,16.66666667,16.66666667,16.66666667,33.33333333,66.66666667,100,100,100,100,100,50,50,50,50,83.33333333,16.66666667,16.66666667,16.66666667,33.33333333,66.66666667,50,50,50,50,83.33333333,16.66666667,16.66666667,33.33333333,66.66666667,100,0,0,0,0,0,16.66666667,16.66666667,16.66666667,33.33333333,66.66666667,50,50,50,50,83.33333333,100,100,100,100,100,0,0,0,0,0,16.66666667,16.66666667,50,66.66666667,100,0,0,0,0,0,0,0,0,0,0,16.66666667,16.66666667,50,66.66666667,100,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,100,16.66666667,16.66666667,16.66666667,16.66666667,66.66666667,50,50,50,50,83.33333333,16.66666667,16.66666667,16.66666667,33.33333333,66.66666667,100,100,100,100,100,50,50,50,50,83.33333333
19,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,100,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,0,0,0,0,0,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0
